Photo,Buyer's Code,Description,Article Nr.,REMARK,CUSHION,GLASS / MIRROR,UOM,W,D,H,SW,SH,SD,AH,Weight Capacity (Kg/Lt),MATERIALS,FINISHING COLOR OF ITEM,WEAVING COMPOSITION,USD SELLING PRICE,PACKING DIMENTION (CM),NW (KG),GW (KG),CBM,ACCESSORIES,PICTURE OF ACCESSORIES,LEATHER,PICTURE OF LEATHER,FINISHING STEPS,FINISHING COLOR OF ITEM,HARGA SUPPLIER / BASKETS
,14227,Rattan Thermos/Water Jug,NWF 136-b / 14227,,,,CM,18,16,24,,,,,1 Lt,"Slimit grey  , stainles steel thermos",NATURAL,,23.00,19x19x28 cm,1.114,1.650,0.010,,,,,,NATURAL,
,18538,"William Arm Chair
(Rocking)",NWSL 15120,"ADD CORNER PROTECTION

NEW VERSION
(ROCKING BLADE POSITION)

ADD RIBBON IN THE BACK CUSHION","YES
INDOOR FOAM , FABRIC CP 77 100% COTTON CREAM/NATURAL",,CM,81,109,114,,,,,,"Rattan Frame 1/2 polesh,Slimit 1/2 Grey Natural,wood Foot",NATURAL,,179.60,91x106x121 cm,11.00,13.40,1.17,,,,,,NATURAL,
,17744,Elegant Slimit Chair,NWSL20,,"YES
INDOOR FOAM , FABRIC CP 77 100% COTTON CREAM/NATURAL",,CM,62,75,97,,,,,,"Rattan Frame,Slimit 1/2 Grey Natural , pine wood, skin lasio",NATURAL,,108.50,77x66x101,8.50,10.90,0.53,,,,,,NATURAL,
,19312,Louis Chair,,,"YES
INDOOR FOAM , FABRIC CP 77 100% COTTON CREAM/NATURAL",,CM,70,80,90,,,,,,"Rattan Frame,Slimit 1/2 Grey Natural",NATURAL,,122.60,87x77x95,7.70,9.90,0.63,,,,,,NATURAL,
,14167,"Marlien Chair incld cushion fabric CP 77 , Bc 21 Tick 5cm",NWSL 15123,ADD CORNER PROTECTION,"CP 77 , Bc 21 Tick 5cm",,CM,62,71,102,57,43,56,52,100 Kg,"Rattan frame, Slimit 1/2 Grey 4-6, Natural",NATURAL,,90.30,78x63x102,7.57,9.37,0.50,,,,,,NATURAL,
,17743,Togeni Chair,NWSL 0124AC,ADD CORNER PROTECTION,"YES
INDOOR FOAM , FABRIC CP 77 100% COTTON CREAM/NATURAL",,CM,68,72,96,57,54,52,,150 Kg,"Rattan frame, kubu grey",NATURAL,,92.2,73x74x99 cm,8.20,10.00,0.53,,,,,,NATURAL,
,22041,DEPLA BASKET S2,2233026,S: 33x33x40,,,CM,41,41,49,,,,,5 Kg,"Banana leaf bleach, ",NATURAL,,26.50,44x44x49 cm,5.75,7.30,0.09,,,,,,NATURAL,
,22091,GIGA PLANTER SET OF 2,22931010,S: 65x65x55 cm,,,CM,95,95,75,,,,,,"Rattan cl, PE plastic",White wash,,89.50,97x97x78,18.50,19.50,0.71,,,,,,,
,22029,Merak Fan,22951036,,,,CM,36,1,31,,,,,,Fitrit ,Natural,,7.60,38x3x33 cm,0.24,0.34,0.002,,,,,,,
,21880,GUNA BASKET S2,2233032,,,,CM, 51.5 , 51.5 ,39,,,,,,"Iron frame , Banana leaf",Natural,,32.50,54x54x41 cm,2.84,4.73,0.12,,,,,,,
,22057,IRISH PLACEMAT SET OF 2,198106,,,,CM,38,38,1,,,,,,Reed,Natural,,10.50,41x41x2,0.20,0.45,0.003,,,,,,,
,22055,Renata Room Divider,22952002,"W : 137 cm
W per Panel : 45 cm",,,CM,45,15,180,,,,,,Rattan lacek/slimit,White wash,,132.00,48x15x180,12.21,13.21,0.13,,,,,,,
,21900,TUPALU RECT BASKET S2,2233009,S: 39x33x28 Cm,,,CM,47,41,34,,,,,,Banana leaf,Natural,,32.50,49x43x36,8.25,9.93,0.08,,,,,,,
,22441,ESIA RD BASKET SET OF 4,2233030,"L: 53x53x35 cm
M: 47x47x30 cm
S: 38x38x28 cm
XS: 31x31x25 cm",,,CM,53,53,35,,,,,,Waterhyacinth,Natural,,48,55x55x38,7.9,9.55,0.11,,,,,,,
,22742,Laundry Folding Basket - Half Kubu,23332003?Half Kubu,,,,CM,40,30,61,,,,,,"Metal tube frame, Natural Rattan Kubu Grey (Half), Inner cotton fabric",Natural,,43,67x17x69 ,5.06,6.26,0.07,,,,,,,
,24691,ARMCHAIR,NWSL 7066,,"YES
INDOOR FOAM , FABRIC CP 77 100% COTTON CREAM/NATURAL",,CM,68,73,92,50,50,54,66,150.00,Kubu,Natural,,89,74x81x99,11.40,13.25,0.59,,,,,,,
,23851,SQUARE BASKET S/2 LEATHER HANDLES,NWSV 29d-m,"CHANGE HANDLE
Size 
M : 46x46x47/56 cm
S: 36x36x55 cm",,,CM,46,46,47/56,,,,,,"Kubu grey, leather black
",Natural,,46,49x49x59,5.90,7.70,0.14,,,,,,,
,,STORAGE BASKET RECTANGLE S2,NWSV 7053 S3,"Size
M: 60x49x27 cm
S: 36x36x22 cm",,,CM,60,49,27,,,,,,"Kubu grey
",Classic brown,,29,63x52x30,2.60,4.40,0.10,,,,,,,
,,"STORAGE UMBRELLA
ECO VERSION",NWSV 226B,WITH LEATHER PELANA HANDLE,,,CM,63,28,71,,,,,,"Iron frame, Kubu grey, Leather
",Natural,,35,66x31x74,3.60,5.50,0.15,,,,,,,
,,TRUSH BIN LOMBOK,NW 22E,,,,CM,19,21,26,,,,,,"Stainless steel trash bin, Rattan Core, Lasio Antique",Natural,,39,21x24x29,1.00,1.50,0.01,,,,,,,
,23159,KUNG POT,22951034,"

      ",,,CM,36,36,30,,,,,,Reed - Terracotta,Natural and White,,25,60x60x46 cm,6.28,6.70,0.16,,,,,,,
,,DELIA BASKET SET OF 2,2233003,"L: 40x40x47 cm
M: 36x36x41 cm",,,CM,40,40,47,,,,,,Banana leaf - Agel,as pict,,28,43x43x50,2.60,3.00,0.09,,,,,,,
,,DAMAR PLACEMAT SET 2,22951033,WILL BE PACKED 6PCS/BOX,,,CM,49,36,1,,,,,,Waterhyacinth,Natural,,8,52x38x3,0.24,0.50,0.01,,,,,,,
,,TENUN RUG,22955001,"

      ",,,CM,93,300,1,,,,,,Alang reed,Natural,,58,96x18x18,3.60,4.00,0.03,,,,,,,
,22808,SMALL Egg Spoon Wood SET 4,23551001,"- No Print
- Add Hole at the handle",,,CM,3.2,1,12,,,,,,Teak wood,Natural,,4.85,5x4x13,0.0080,0.0180,0.0003,,,,,,,
,22959,LOLI BASKET,23331010,,,,CM,58,58,42,,,,,,Mendong,Natural,,31,63x63x46,0.82,3.77,0.18,,,,,,,
,24706,HONEYCOMB BASKET SET OF 2 - C,2233013,S: 36x36x36 cm,,,CM,52,52,46,,,,,,Banana leaf - Reed - Black synthetic raffia,Natural NC clear topcoat,,34,55x55x49 cm,5.50,8.09,0.14,,,,,,,
,,SHOPPING BASKET,,,,,CM,45,32,20,,,,,,Raffia Bast or Palm Leaf,Natural,,,,,,,,,,,,,
,,HANGING BASKET SET OF 2,,,,,CM,40,40,48,,,,,,Mendong,Natural,,,,,,,,,,,,,
,23240,Grass Plume Bleach Set of 3,22951043,,,,CM,38,2,170,,,,,,Grass Plume,Bleach,,14.50,10x8x172 cm,0.68,1.30,0.07,,,,,,,
,,CANDLE HOLDER S3,BTC S3,"without glass , without candle
L : 12 x 12 x 10 cm
M : 11 x 11 x 9 cm
S : 10 x 10 x 8 cm

Candle holders should be suitable for a t-light Dia 4x1,4 cm
",,,CM,12,12,10,,,,,,Cement,stone,,23,26x26x15 cm,1.83,2.45,0.01,,,,,,,
,,BASKET SET OF 2,23931012,"SIZE 
L : 325x31x44/54 cm (Incl. Handle)
S : 23x19x36/44 cm (Incl. handle)

The handles should be able to move",,,CM,25,32,44/54,,,,,,"Iron Frame, Rattan",Natural,,45,27x33x46 cm,2.60,3.30,0.04,,,,,,,
,23658,KEY HOLDER,23950001,HOOK SHOULD BE DARK BROWN,,,CM,22,7.5,36.5,,,,,,"Rattan slimit grey. Iron frame, brass",Natural grey,,14,23x38x9 cm,0.64,1.00,0.01,,,,,,,
,23341,SUMMER BASKET,23931009,,,,CM,45,45,67,,,,,,"Rattan, Bamboo, Wood base",White wash,,33,48x48x60 cm,1.95,4.70,0.14,,,,,,,
,23438,HANGING LANTERN SET OF 2,23941001,Size S: 18x18x28/37(Include Handle),,,CM,22.5,22.5,35/46,,,,,,"Iron frame, syntethic rattan, glass",Brown,,32,44x25x38 cm,1.77,3.30,0.04,,,,,,,
